date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:43:26	162/162	U-----	200	untouched ('OK')	text/plain	date:Sat,%2011%20Nov%202023%2010:19:41%20GMT	https://shunyiguojilicaiyouxiangongsi4.webnode.tw/robots.txt		(from )
18:43:27	73162/73162	U--MCZ	200	updated ('OK')	text/html	date:Sat,%2011%20Nov%202023%2010:43:26%20GMT	https://shunyiguojilicaiyouxiangongsi4.webnode.tw/	C:/My%20Websites/webnode/index-2.html	(from )
18:43:27	22638/22638	---M--	200	added ('OK')	image/x-icon	etag:%22583de0f61394833894ec25eead91b70c%22	images/logo.webp	C:/My%20Websites/webnode/files/1j/1j3/1j3767e07a.ico	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:27	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2011%20Nov%202023%2010:43:27%20GMT	https://fonts.gstatic.com/	C:/My%20Websites/webnode/index-4.html	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	413/413	U-----	200	untouched ('OK')	image/svg+xml	etag:%2288fe2edfb9e2634e0187b719b85383cc%22	images/logo.webp	C:/My%20Websites/webnode/files/2d/2di/2div3he07a.svg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	244922/244922	U--MC-	200	updated ('OK')	application/xml	date:Sat,%2011%20Nov%202023%2006:28:04%20GMT	https://d1di2lzuh97fh2.cloudfront.net/	C:/My%20Websites/webnode/index-3.html	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	30106/30106	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f7e017d8e028439540be1f8e7d0311d3-1%22	https://d1di2lzuh97fh2.cloudfront.net/client/js.polyfill/container-query-polyfill.modern.js	C:/My%20Websites/webnode/client/js.polyfill/container-query-polyfill.modern.js	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	316/316	U-----	200	untouched ('OK')	image/svg+xml	etag:%220bec9a092ea54c5feceaf57b0e7d89a3%22	images/logo.webp	C:/My%20Websites/webnode/files/07/07f/07fzq8e07a.svg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	8557/8557	U-----	200	untouched ('OK')	text/css	etag:W/%22078ac8551d2521014fd200de9a002d38%22	https://d1di2lzuh97fh2.cloudfront.net/files/04/04p/04pi85.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/04/04p/04pi85e07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	448538/448538	U-----	200	untouched ('OK')	text/css	etag:W/%223d6b7e02510df2093af155460daa87fc%22	https://d1di2lzuh97fh2.cloudfront.net/files/12/12c/12ce00.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/12/12c/12ce00e07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:28	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2011%20Nov%202023%2010:43:28%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Websites/webnode/gtm.f5445.delayed	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:29	329277/329277	U-----	200	untouched ('OK')	text/css	etag:W/%22bec4e69ec5e963ddb727388cd00e111b%22	https://d1di2lzuh97fh2.cloudfront.net/files/3b/3b3/3b3gq1.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/3b/3b3/3b3gq1e07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:29	254923/254923	U-----	200	untouched ('OK')	text/css	etag:W/%2216cbfca883dee6eaf79e13361e317817%22	https://d1di2lzuh97fh2.cloudfront.net/files/0e/0e8/0e8clm.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/0e/0e8/0e8clme07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:29	1424473/1424473	---M--	200	added ('OK')	image/png	etag:%22f53ce2236f4c178c9182ec10d51c0259%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000000-abdd5abdd8/%e5%95%86%e6%a8%99.png?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000000-abdd5abdd8/%e5%95%86%e6%a8%99e07a.png	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:29	343682/343682	U-----	200	untouched ('OK')	text/css	etag:W/%221123e7644ffef27cf5eafcd68b878899%22	https://d1di2lzuh97fh2.cloudfront.net/files/0a/0ap/0ap7xy.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/0a/0ap/0ap7xye07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:29	86121/86121	---M--	200	added ('OK')	image/jpeg	etag:%22a0fe3e548070560051d90bec65c3f5d2%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000264-6889a6889e/Shun%20Yi.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000264-6889a6889e/Shun%20Yie07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	81227/81227	---M--	200	added ('OK')	image/png	etag:%22fa6a95e71d181ae6ac1f7586f0d8515a%22	https://d1di2lzuh97fh2.cloudfront.net/files/4c/4cc/4cc0gu.png?ph=caff1a51e2	C:/My%20Websites/webnode/files/4c/4cc/4cc0gue07a.png	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	107496/107496	---M--	200	added ('OK')	image/jpeg	etag:%229aa8b3d4d86407e72f9c4ba7984e346d%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000238-126a6126a9/2.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000238-126a6126a9/2e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	247756/247756	U-----	200	untouched ('OK')	text/css	etag:W/%2276ab977db999e209ac94021aeddfbcb4%22	https://d1di2lzuh97fh2.cloudfront.net/files/22/223/2232if.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/22/223/2232ife07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	361968/361968	---M--	200	added ('OK')	image/jpeg	etag:%223ac53f51b8b1c2a18afdac3d92d56d96%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000240-7a4787a47c/4.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000240-7a4787a47c/4e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	120946/120946	---M--	200	added ('OK')	image/jpeg	etag:%226de96e8506f84507598f008ed714318a%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000236-309d9309dc/7.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000236-309d9309dc/7e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:30	298904/298904	---M--	200	added ('OK')	image/jpeg	etag:%2251cef50364a3bf27482567baa0b496ff%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000242-186e4186e8/8.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000242-186e4186e8/8e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:31	316827/316827	---M--	200	added ('OK')	image/jpeg	etag:%227aa03ac1565fec5b6681dd8527663009%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000244-bfe42bfe46/12.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000244-bfe42bfe46/12e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:31	133936/133936	---M--	200	added ('OK')	image/jpeg	etag:%228980cf4bb302bdf5123de480c977958d%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000246-73d5673d5a/14.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000246-73d5673d5a/14e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:31	205/205	U-----	200	untouched ('OK')	text/css	etag:%22ffb66c09991e86b6eddbf399e9deac0f%22	https://d1di2lzuh97fh2.cloudfront.net/files/4f/4fn/4fn1kw.css?ph=caff1a51e2	C:/My%20Websites/webnode/files/4f/4fn/4fn1kwe07a.css	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:31	181625/181625	---M--	200	added ('OK')	image/jpeg	etag:%22aaf2241150eb37a54b5ff3a794669498%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000248-5e51b5e51f/15.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000248-5e51b5e51f/15e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
18:43:31	99487/99487	---M--	200	added ('OK')	image/jpeg	etag:%229dbb8f313c129f602815fca3d45ce399%22	https://caff1a51e2.cbaul-cdnwnd.com/85d443aa04c57af9e4bdb349ef20e83f/200000250-c8b3bc8b3e/115.jpg?ph=caff1a51e2	C:/My%20Websites/webnode/85d443aa04c57af9e4bdb349ef20e83f/200000250-c8b3bc8b3e/115e07a.jpg	(from https://shunyiguojilicaiyouxiangongsi4.webnode.tw/)
